#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1,USA,"106,767,388",,"1,162,427                                ",,"104,710,726",,"894,235","1,229","318,894","3,472","1,178,783,869","3,520,804","334,805,269 ",North America,,32880,,,"2,671"
2,India,"44,969,630",,"531,680                                ",,"44,410,738",,"27,212",N/A,"31,970",378,"927,691,306","659,513","1,406,631,776 ",Asia,,"312,6462",,,19
3,France,"40,017,889",,"166,811                                ",,"39,735,197",,"115,881",869,"610,173","2,543","271,490,188","4,139,547","65,584,518 ",Europe,,23930,,,"1,767"
4,Germany,"38,411,062",,"173,375                                ",,"38,206,500",+400,"31,187",N/A,"457,909","2,067","122,332,384","1,458,359","83,883,596 ",Europe,,24841,,,372
5,Brazil,"37,487,971",,"701,833                                ",,"36,249,161",,"536,977",N/A,"174,076","3,259","63,776,166","296,146","215,353,593 ",South America,,63073,,,"2,493"
6,Japan,"33,778,993",,"74,645                                ",,N/A,N/A,N/A,74,"268,973",594,"100,368,590","799,209","125,584,838 ",Asia,,"41,6821",,,"95,386"
7,S. Korea,"31,251,203",,"34,518                                ",,"30,991,251","+16,508","225,434",141,"608,830",672,"15,804,065","307,892","51,329,899 ",Asia,,"21,4873",,,"4,392"
8,Italy,"25,809,208",,"189,904                                ",,"25,493,751",,"125,553",108,"428,278","3,151","271,773,815","4,509,813","60,262,770 ",Europe,,23170,,,"2,083"
9,UK,"24,569,895",,"223,396                                ",,"24,327,388","+1,866","19,111",N/A,"358,696","3,261","522,526,476","7,628,357","68,497,907 ",Europe,,33070,,,279
10,Russia,"22,874,838",,"398,496                                ",,"22,286,388",,"189,954",N/A,"156,885","2,733","273,400,000","1,875,095","145,805,947 ",Europe,,63661,,,"1,303"
11,Turkey,"17,232,066",,"102,174                                ",,N/A,N/A,N/A,,"201,399","1,194","162,743,369","1,902,052","85,561,976 ",Asia,,58371,,,"4,024"
12,Spain,"13,845,825",,"120,964                                ",,"13,681,014",,"43,847",231,"296,363","2,589","471,036,328","10,082,298","46,719,142 ",Europe,,33860,,,939
13,Vietnam,"11,573,931",,"43,196                                ",,"10,626,524",,"904,211",141,"116,963",437,"85,826,548","867,342","98,953,541 ",Asia,,"92,2911",,,"9,138"
14,Australia,"11,472,222",,"20,410                                ",,"11,424,238",,"27,574",61,"440,075",783,"81,888,237","3,141,236","26,068,792 ",Australia/Oceania,,"21,2770",,,"1,058"
